TF | No. de genes que regula | Genes regulados | + | -
PurR | 32 | carA, carB, cvpA, gcvH, glnB, glyA, guaA, guaB, prs, purA, purC, purD, purE, purF, purH, purK, purL, purM, purN, purR, pyrC, pyrD, speA, speB, ubiX, purB, codA, codB, hflD, gcvT, purT, gcvP | 0 | 32
RelB | 3 | relB, hokD, relE | 0 | 3
DnaA | 12 | aldA, guaA, guaB, polA, recN, rpoH, uvrB, yjeV, idlP, ytiC, ytiD, iraD | 1 | 11
RcsB-BglJ | 16 | bglB, bglF, bglG, leuO, sfsB, yidL, yehF, ykiA, ynbA, ynbB, ynbC, ynbD, ynjI, yecT, yqhG, ygiZ | 16 | 0
AcrR | 15 | flhC, flhD, soxR, soxS, marA, marR, marB, acrA, acrB, acrR, micF, mdtU, puuA, mdtI, mdtJ | 0 | 15
YdfH | 2 | rspB, rspA | 0 | 2
YdiP | 2 | cspA, cspE | 2 | 0
YdeO | 24 | appA, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, nhaR, appB, appC, gadB, adiA, gadE, yiiS, uspD, dctR, slp, mdtE, mdtF, gadW, appX, gadF, ydeO, safA | 21 | 3
HigA | 2 | higA, higB | 0 | 2
UhpA | 2 | uhpT, uhpU | 2 | 0
FNR | 310 | dcuB, cydC, garL, ackA, adhE, aldA, ansB, aroP, aspA, cadC, cheB, cheR, cheY, cheZ, moeA, moeB, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, dmsA, dmsB, dmsC, dppA, entF, acrE, acrF, fdhF, fepE, fes, fhlA, frdA, frdB, frdC, frdD, fumA, fumB, fumC, gcvH, gdhA, glpA, glpB, glpC, glpQ, glpT, gltB, gltD, gnd, hemA, hmp, hypB, hypC, hypD, hypE, katG, malP, malQ, narG, narH, narI, narJ, narK, narL, narX, ndh, nirB, nirC, nirD, pflB, pstS, phoU, poxB, prfA, pstA, pstB, pstC, purM, purN, pykA, rplB, rplC, rplD, rplM, rplP, rplS, rplT, rplV, rplW, rpmC, rpsC, rpsI, rpsJ, rpsP, rpsQ, rpsS, sdhA, sdhB, sdhC, sdhD, sodA, soxR, soxS, sucA, sucB, sucC, sucD, tap, tar, tdcA, tdcB, tdcC, thrA, trmD, ung, hyfA, rimM, tdcD, garK, garR, zwf, dcuA, ycaC, focA, pheM, hyfB, ygbA, acnA, upp, ubiC, ubiA, cydD, nrdD, gcvT, scpA, argK, gltF, nikR, pepT, caiD, caiC, caiB, caiA, caiT, fixA, fixB, fixC, fixX, moaA, moaB, moaD, moaE, ydeJ, moaC, viaA, ravA, nuoM, nuoF, nrfA, gcvP, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, yeiL, ccmH, ccmG, ccmF, ccmE, ccmC, ccmB, ccmA, napC, napB, napH, napG, napA, napF, nikA, nikB, nikC, nikD, nikE, nuoA, nuoB, nuoC, nuoE, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoN, feoA, feoB, ompX, uraA, napD, ccmD, pitA, gadW, gadX, ccp, bcsZ, bcsB, yibN, ssuB, msrB, ychO, prmC, norW, garD, caiE, dppB, dppC, dppD, dppF, uxaA, garP, feoC, emrY, metV, rnpB, gadA, ybdZ, fnrS, idlP, gndA, ymjE, sdhX, narS, aspX, caiF, ybdN, citG, citX, citF, citE, citD, citC, dpiB, dpiA, dcuC, b0725, hcr, hcp, ssuC, ssuD, ssuA, ssuE, iraM, hlyE, puuP, puuA, tpx, ortT, ydfZ, ydfO, ynfE, ynfF, ynfG, ynfH, dmsD, bidA, ydhT, ydhU, ydhX, ydhW, ydhV, ydhY, yecR, nac, yfcZ, emrK, yffS, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, focB, pdeF, norV, mltA, xdhA, xdhB, xdhC, scpB, scpC, nfeR, aer, tdcG, tdcF, tdcE, ysgA, dcuR, dcuS, ytfE, iraD, nrdG, uxaC, gapC | 204 | 106
RelBE | 3 | relB, hokD, relE | 0 | 3
AllS | 3 | allE, allC, allD | 3 | 0
MetR | 4 | hmp, metE, metH, metR | 3 | 1
GadRcs | 9 | aslB, cadA, cadB, dctR, slp, yhiM, gadX, adiC, gadA | 9 | 0
FimZ | 5 | puuC, puuB, sfmA, sfmC, puuD | 5 | 0
MhpR | 6 | mhpE, mhpA, mhpB, mhpC, mhpD, mhpF | 6 | 0
FucR | 7 | fucA, fucI, fucK, fucO, fucP, fucR, fucU | 7 | 0
YefMB | 2 | yefM, yoeB | 0 | 2
CynR | 4 | cynS, cynT, cynX, cynR | 3 | 1
CueR | 9 | moaA, moaB, moaD, moaE, moaC, rsd, cueO, rmf, copA | 2 | 7
NagC | 33 | chbB, chbC, chbA, chbR, chbF, creD, crr, fimB, manX, manY, manZ, nagA, nagB, umpH, nagE, nagC, creC, ptsH, ptsI, creA, creB, galP, chbG, chiZ, chiP, chiQ, dinI, ydeM, ydeN, ydeP, nanS, nanM, nanC | 1 | 32
DicA | 9 | dicA, dicB, dicC, ydfD, ydfE, ydfW, ydfX, insD7, intQ | 1 | 8
RcsAB | 16 | flhC, flhD, rcsA, yjbE, yjbF, yjbG, yjbH, csgG, csgF, csgE, csgD, wcaB, wcaA, wzc, wzb, wza | 10 | 6
AtoC | 4 | atoD, atoA, atoE, atoB | 4 | 0
AllR | 9 | gcl, allS, allA, hyi, glxR, allW, allB, ybbY, glxK | 0 | 9
RpoN | 6 | fadL, mutM, nth, cspC, yobF, yfcZ | 0 | 6
BtsR | 15 | aceE, aceF, lpd, mdh, pdhR, csgA, cspC, csgG, csgF, csgE, csgD, csgB, csgC, yobF, btsT | 1 | 14
FliZ | 22 | flhC, flhD, osmY, hdeA, hdeB, yhiD, csgA, gadB, gadE, yjbJ, mlrA, mdtE, mdtF, gadF, csgG, csgF, csgE, csgD, csgB, csgC, pdeR, gadC | 0 | 22
TdcR | 7 | tdcA, tdcB, tdcC, tdcD, tdcG, tdcF, tdcE | 7 | 0
LeuO | 23 | bglB, bglF, bglG, cadC, leuA, leuL, gltF, leuD, leuC, leuB, cas2, ybeQ, dsrA, cas1, casE, casD, casC, casB, casA, yghR, yghS, yjjQ, bglJ | 17 | 6
CecR | 6 | rhlE, cecR, ybhR, ybhS, ybhF, ybhG | 1 | 5
RcdA | 14 | sulA, ydeI, rsd, rmf, yagK, ybjI, ybjJ, rcdA, csgG, csgF, csgE, csgD, bluF, asr | 10 | 4
SlyA | 48 | fecI, fecR, leuO, gspO, rsd, gspM, pagP, sgcA, sgcC, sgcX, mdtM, cas2, rmf, sgcB, elfA, hlyE, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, slyA, cas1, casE, casD, casC, casB, casA, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, sgcR, sgcE, sgcQ, yjiN | 39 | 9
YcjW | 12 | ymjB, ycjM, ycjN, ycjO, ycjP, ycjQ, ycjR, ycjS, ycjT, ycjU, ycjV, ompG | 0 | 12
YciT | 4 | rdcA, cusF, ybiY, bsmA | 2 | 2
LsrR | 9 | lsrK, lsrR, lsrA, lsrC, lsrD, lsrB, lsrF, lsrG, tam | 0 | 9
NrdR | 9 | nrdA, nrdB, nrdD, yfaE, nrdF, nrdE, nrdH, nrdI, nrdG | 0 | 9
OxyR | 44 | fur, gor, grxA, hemH, katG, metE, metR, oxyR, poxB, rimK, uxuA, xthA, nfsA, sufA, ahpC, ahpF, ychF, dps, trxC, hemF, ccp, znuB, gntP, ybjC, uxuB, oxyS, yjjZ, uof, isrC, dsbG, ybjN, hcr, hcp, sufE, sufS, sufD, sufC, sufB, znuA, znuC, zinT, flu, mntH, fhuF | 32 | 12
ModE | 46 | modB, modC, deoA, deoB, deoC, deoD, dmsA, dmsB, dmsC, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, narL, narX, oppA, oppB, oppC, oppD, oppF, moaA, moaB, moaD, moaE, moaC, ccmH, ccmG, ccmF, ccmE, ccmC, ccmB, ccmA, napC, napB, napH, napG, napA, napF, napD, ccmD, modA, hycI | 31 | 15
Fis | 242 | adhE, osmE, ansB, apaG, apaH, bglB, bglF, bglG, carA, carB, crp, cspA, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, deoA, deoB, deoC, deoD, dmsA, dmsB, dmsC, dnaA, dnaN, fadA, fadB, fimA, fimC, fimD, fimF, fimG, fimH, fis, fumB, glnA, glnG, glnL, glnQ, glpA, glpB, glpC, glpQ, glpT, gltX, guaA, guaB, gyrA, gyrB, hns, hupA, hupB, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, infB, katE, rsmA, lpd, malE, malF, malG, mazE, mazG, mglA, mglC, mtlA, mtlD, nanA, narG, narH, narI, narJ, narK, nirB, nirC, nirD, nrdA, nrdB, nusA, ogt, pdxA, pflB, pnp, pyrD, queA, recF, rplM, rpsI, rpsO, tolB, tpr, trg, trmA, tufB, truB, rbfA, rimP, mazF, dusB, osmY, dps, msrA, marA, marR, acs, gadB, sra, marB, proP, nuoM, nuoF, nrfA, grcA, actP, yjcH, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, mtlR, fimI, nuoA, nuoB, nuoC, nuoE, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoN, cbpA, cbpM, gadX, xylG, xylH, aldB, acnB, yfaE, xylF, xylR, alaT, alaU, alaV, alaW, alaX, argU, argW, argX, aspV, glnU, glnV, glnW, glnX, gltT, gltU, gltV, gltW, glyT, glyU, hisR, ileT, ileU, ileV, leuP, leuQ, leuT, leuV, leuW, leuX, lysT, lysV, lysW, metT, metU, metY, pheU, pheV, proK, proL, proM, rrfA, rrfB, rrfC, rrfD, rrfE, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rrfF, serT, serX, thrT, thrU, thrV, thrW, tyrT, tyrU, tyrV, valT, valU, valX, valY, gadA, malH, narS, fimR2, glnZ, nanT, hlyE, gadC, cspI, flxA, yoaG, yeaR, yodD, glcC, nanQ, nanK, nanE | 157 | 85
PutA | 2 | putA, putP | 0 | 2
BolA | 9 | fimH, mreB, mreC, mreD, csgA, csgG, csgF, csgE, csgD | 6 | 3
UlaR | 7 | ulaB, ulaC, ulaG, ulaA, ulaD, ulaE, ulaF | 0 | 7
SdiA | 7 | ftsA, ftsZ, rsd, gadW, rmf, gadY, rflP | 5 | 2
GatR | 6 | gatA, gatB, gatC, gatD, gatY, gatZ | 0 | 6
AgaR | 11 | agaA, kbaY, agaB, agaC, agaR, kbaZ, agaV, agaW, agaS, agaD, agaI | 0 | 11
Zur | 7 | znuB, ykgO, ykgM, pliG, znuA, znuC, zinT | 0 | 7
YjjQ | 10 | flhC, flhD, ompC, yfiB, dgcN, ymiA, yciX, ybhL, gfcA, yfiR | 0 | 10
GutM | 7 | srlE, srlB, srlD, gutM, gutQ, srlR, srlA | 7 | 0
Ada | 2 | alkA, aidB | 2 | 0
McbR | 6 | yciE, yciF, yciG, rsd, rmf, mcbA | 5 | 1
AaeR | 3 | aaeB, aaeA, aaeX | 3 | 0
YidZ | 4 | malE, rbsD, ppiC, rof | 0 | 4
ArsR | 3 | arsR, arsB, arsC | 0 | 3
NadR | 4 | nadA, nadB, pncB, pnuC | 0 | 4
HypT | 13 | cydA, cydB, cysH, fecA, fecB, fecC, fecD, fecE, metB, metL, metQ, metN, metI | 8 | 5
UxuR | 11 | fliC, uidA, uxuA, uidB, gntP, exuR, uxuB, uxuR, uidC, lgoR, lgoD | 0 | 11
BetI | 4 | betA, betB, betI, betT | 0 | 4
CreB | 16 | ackA, creD, malE, malF, malG, parE, recG, cbrA, cbrB, talA, nudF, pta, malH, yqiA, cpdA, yqiB | 12 | 4
MarR | 3 | marA, marR, marB | 0 | 3
RstA | 10 | narG, narH, narI, narJ, ompF, csgG, csgF, csgE, csgD, asr | 5 | 5
GcvA | 2 | gcvA, gcvB | 1 | 1
PunR | 1 | punC | 1 | 0
SgrR | 9 | thiQ, thiP, thiB, setA, sgrR, sgrT, sroA, sgrS, alaC | 4 | 5
PyrR | 1 | yhjX | 1 | 0
HigBA | 2 | higA, higB | 0 | 2
FlhDC | 93 | aceB, adhE, fliL, fliM, fliN, epd, glpA, glpB, glpC, iclR, mdh, mglA, mglB, mglC, pfkA, ptsH, recC, fliD, ppdC, ygdB, ppdB, fliO, fliE, fliF, fliA, fliZ, fliS, fliT, hypF, hydN, fliG, fliH, nfrB, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, fliP, fliQ, fliR, setB, ccmH, ccmG, ccmF, ccmE, ccmC, ccmB, ccmA, napC, napB, napH, napG, napA, napF, ppdA, napD, ccmD, pdeH, gltJ, gltK, gltL, sroC, flgA, flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ, flgM, flhA, fliI, fliJ, fliK, gltI, csgC, ymdA, ymdB, clsC, flgN, ycgR, flhE, flhB, yecR, tcyJ, ygbK, fruB | 89 | 4
YebK | 1 | yebK | 0 | 1
AraC | 15 | araE, araF, araG, araH, araJ, xylA, xylB, ygeA, yjfF, ytfQ, ytfR, ytfT, xylZ, ydeM, ydeN | 6 | 9
PdhR | 54 | aceE, aceF, cyoA, cyoB, cyoC, cyoD, cyoE, ddlB, lpxC, fadL, fecA, fecB, fecC, fecD, fecE, ftsA, ftsI, ftsQ, ftsW, ftsZ, hemL, hha, lpd, mraY, murC, murD, murE, murF, murG, ndh, ppsA, mraZ, rsmH, ftsL, pdhR, ppsR, grcA, lldP, tomB, glcB, acpP, ftsO, glcF, fadH, fadE, gmhA, fadM, ybcV, ybcW, fumD, glcA, glcG, glcE, glcD | 16 | 38
RcsB | 26 | ftsA, ftsZ, osmB, osmC, hdeA, hdeB, yhiD, gadB, hdeD, sra, rpoE, gadX, rseA, rarA, gadA, rseD, rprA, gadY, lolA, bdm, gadC, ydeO, safA, ydeP, rseC, rseB | 24 | 2
LacI | 3 | lacA, lacY, lacZ | 0 | 3
NimR | 2 | nimR, nimT | 0 | 2
XynR | 5 | yagA, yagB, insX, yagE, yagF | 0 | 5
RtcR | 2 | rtcA, rtcB | 2 | 0
AidB | 1 | aidB | 0 | 1
UidR | 4 | uidA, uidB, uidC, uidR | 0 | 4
CdaR | 10 | garL, garK, garR, cdaR, garD, garP, rnpB, gudD, gudX, gudP | 10 | 0
LrhA | 5 | fimE, flhC, flhD, leuO, lrhA | 3 | 2
TreR | 2 | treC, treB | 0 | 2
MalT | 11 | lamB, malE, malF, malG, malK, malM, malP, malQ, malZ, malS, malH | 11 | 0
MngR | 3 | mngR, mngA, mngB | 0 | 3
CitR | 3 | ybdM, ybdN, citR | 0 | 3
GntR | 12 | eda, edd, idnK, gntT, idnT, gntK, gntU, yhgH, nfuA, idnR, idnO, idnD | 0 | 12
KdpE | 9 | kdpA, kdpB, kdpC, adeP, rsd, uxaA, rmf, kdpF, uxaC | 6 | 3
CsqR | 5 | yihS, yihT, yihU, yihV, csqR | 0 | 5
NanR | 11 | fimB, nanA, nanX, nanT, nanQ, nanK, nanE, nanY, nanS, nanM, nanC | 1 | 10
YegW | 3 | yegT, yegU, yegV | 0 | 3
CsgD | 28 | nlpA, pepD, iraP, dgcC, fliE, fliF, fliA, fliZ, csgA, wrbA, fliG, fliH, yccJ, flgM, fliI, fliJ, fliK, csgI, csgG, csgF, csgE, csgD, csgB, csgC, flgN, tcyJ, yhbS, ubiT | 13 | 15
YdcI | 5 | iraP, gadB, isrC, flu, smrB | 5 | 0
EnvY | 2 | ompC, ompF | 2 | 0
DsdC | 1 | dsdA | 1 | 0
