TF | No. de genes que regula | Genes regulados | + | -
NhaR | 37 | nhaA, osmC, nhaR, rsd, alaU, alaV, gltT, gltU, gltV, gltW, ileU, ileV, rrfB, rrfC, rrfD, rrfE, rrfG, rrfH, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rrfF, thrV, rmf, pgaD, pgaC, pgaB, pgaA | 20 | 17
NsrR | 86 | aceE, aceF, cdd, moeA, moeB, fhlA, ihfA, hmp, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hypA, hypB, hypC, hypD, hypE, infC, lrp, ndh, pheS, pheT, poxB, wecA, rplT, bamE, sodB, thrS, rpmI, tsgA, waaH, pheM, ygbA, wzzE, ydbD, fliA, fliZ, pgpC, tadA, sufA, wecB, wecC, rffG, rffH, rffC, wecE, wzyE, rffM, wzxE, dkgB, nrfA, tehA, tehB, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, norR, grxD, dsdC, rybB, mhpT, hcr, hcp, feaR, mepH, sufE, sufS, sufD, sufC, sufB, yeaE, yoaG, yeaR, tcyJ, hycI, wecF, ytfE, bdcA, feaB | 2 | 84
TorR | 19 | rpoS, tnaA, tnaB, tnaC, hdeA, hdeB, yhiD, gadB, adiA, gadE, torA, torC, slp, torD, mdtE, mdtF, adiC, torR, gadC | 18 | 1
FabR | 2 | fabA, fabB | 0 | 2
ComR | 1 | bhsA | 0 | 1
ArgR | 64 | hisM, argA, argB, argC, argD, argF, argG, argI, argR, aroK, aroP, carA, carB, cvpA, dacC, ftsZ, gltB, gltD, gltP, hisP, infB, waaA, lrp, nusA, pfkB, pnp, rpsO, yffB, truB, rbfA, rimP, argH, mukE, hisL, pyrL, argE, dps, gltF, stpA, yaaU, artP, artI, artQ, artM, artJ, potF, puuB, hisJ, hisQ, metY, mcaS, ykgA, lysO, ydgI, astE, astB, astD, astA, astC, hchA, yfcC, eutS, yraQ, yhcC | 13 | 51
IlvY | 2 | ilvC, ilvY | 1 | 1
RcnR | 3 | rcnR, rcnA, rcnB | 0 | 3
CytR | 14 | cdd, cytR, deoA, deoB, deoC, deoD, nupG, ppiA, rpoH, tsx, udp, aphA, nupC, ycdZ | 0 | 14
MlrA | 10 | cadC, yhbE, rplU, rpmA, csgG, csgF, csgE, csgD, obgE, ibaG | 10 | 0
PrpR | 5 | prpR, prpB, prpC, prpD, prpE | 4 | 1
MatA | 9 | flhC, flhD, fliC, fliA, fliZ, fliX, ecpA, matA, tcyJ | 2 | 7
AlaS | 1 | alaS | 0 | 1
ArgP | 15 | asd, dapB, dapD, dnaA, dnaN, gdhA, argP, lysA, lysC, nrdA, nrdB, recF, argO, lysP, yfaE | 14 | 1
GlcC | 7 | glcB, glcF, glcA, glcG, glcE, glcD, glcC | 6 | 1
PuuR | 8 | puuC, puuB, puuR, ymjE, puuP, puuA, puuD, puuE | 0 | 8
YiaU | 6 | gltD, waaP, adeP, yiaT, yiaV, yiaW | 6 | 0
FeaR | 2 | tynA, feaB | 2 | 0
NtrC | 45 | hisM, argT, hisP, relA, potF, potG, potH, potI, amtB, rpoE, hisJ, hisQ, glnK, rseA, yhdW, yhdX, yhdY, yhdZ, rseD, rutG, rutF, rutE, rutD, rutC, rutB, rutA, ddpF, ddpD, ddpC, ddpB, ddpA, ddpX, astE, astB, astD, astA, astC, yeaE, yeaG, yeaH, cbl, nac, rseC, rseB, patA | 44 | 1
Mlc | 10 | crr, malT, manX, manY, manZ, ptsG, ptsH, ptsI, bidA, mlc | 0 | 10
SrsR | 38 | adhE, fucA, fucI, fucK, fucO, fucP, fucR, fucU, hycB, narZ, pflB, dhaM, yafQ, dinJ, yafL, bluR, dhaL, dhaK, paaZ, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, cdgI, yfdK, yfdL, yfdM, yfdN, yfdO, yfdP, yfdQ | 38 | 0
YeiL | 1 | yeiL | 1 | 0
MprA | 6 | mprA, nmpC, emrA, emrB, acrA, acrB | 0 | 6
FrmR | 3 | frmA, frmB, frmR | 0 | 3
TdcA | 7 | tdcA, tdcB, tdcC, tdcD, tdcG, tdcF, tdcE | 7 | 0
EvgA | 21 | acrD, gadE, evgA, evgS, mdtE, mdtF, emrY, gadF, evgL, ydeO, safA, ydeP, yegZ, G7121, yegR, emrK, yfdE, yfdV, oxc, frc, yfdX | 21 | 0
TyrR | 11 | aroF, aroG, aroL, aroM, aroP, folA, mtr, tyrA, tyrB, tyrR, yaiA | 2 | 9
CaiF | 10 | caiD, caiC, caiB, caiA, caiT, fixA, fixB, fixC, fixX, caiE | 10 | 0
GadW | 8 | gadE, dctR, slp, mdtE, mdtF, gadW, gadF, gadY | 4 | 4
IdnR | 7 | idnK, idnT, gntK, gntU, idnR, idnO, idnD | 5 | 2
RhaS | 6 | rhaR, rhaS, rhaT, rhaD, rhaA, rhaB | 6 | 0
UvrY | 6 | uhpT, luxS, uhpU, csrB, csrC, ydeP | 6 | 0
DinJ-YafQ | 3 | cspE, yafQ, dinJ | 0 | 3
HcaR | 7 | iroK, hcaR, hcaC, hcaB, hcaD, hcaE, hcaF | 5 | 2
CysB | 33 | cysA, cysB, cysC, cysD, cysH, cysI, cysJ, cysK, cysM, cysN, cysP, cysU, cysW, dgcZ, ssuB, tauD, tauA, tauB, tauC, ybdN, ssuC, ssuD, ssuA, ssuE, ariR, yciW, hslJ, tcyP, yoaC, tcyJ, cbl, yfbR, ygeH | 26 | 7
NfeR | 2 | nfeF, nfeR | 0 | 2
CspA | 2 | gyrA, hns | 2 | 0
MazE | 3 | mazE, mazG, mazF | 0 | 3
PspF | 8 | pspA, pspB, pspC, pspD, pspE, pspG, pspF, pspH | 7 | 1
CpxR | 130 | acrD, cpxR, aroG, ascF, atpB, atpI, carA, carB, cheA, cheW, cpxA, cspA, dgt, edd, exbB, fimB, lpxD, hha, skp, degP, lpxA, metC, motA, motB, ompC, ompF, pflB, plsB, ppiA, psd, rpoH, sbmA, sdhC, slt, bamE, tsr, ung, dsbC, xylE, mtn, yccA, fdnG, ldtD, focA, fabZ, dsbA, appC, inaA, marA, marR, acs, csgA, yhdJ, marB, baeS, baeR, eamA, ydeE, dgcZ, bacA, yidQ, chaA, yebE, srkA, rpoE, nuoA, mdtD, galP, yibN, gpmM, yacH, rseA, ettA, chaB, tomB, yddG, yhdW, ampH, yfaH, shoB, cpxQ, rseD, motR, rprA, cyaR, fadE, gmhA, matA, frmB, yaiW, ppiD, pdeB, glsA, qmcA, dsbG, hcp, efeU, csgG, csgF, csgE, csgD, csgB, csgC, ldtC, feaR, yncE, gstA, spy, astC, ftnB, cbl, mdtA, mdtB, mdtC, fadI, frc, rseC, rseB, kbp, yqaE, casA, ygjR, yqjA, mzrA, cpxP, epmB, mscM, yjfN, btsT, gapC | 77 | 53
NarP | 36 | cysG, fdhF, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, nirB, nirC, nirD, poxB, fdnG, fdnH, fdnI, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, norW, hcr, hcp, ydeP, ydhT, ydhU, ydhX, ydhW, ydhV, ydhY, yoaG, yeaR, norV, ytfE | 18 | 18
MetJ | 15 | metA, metB, metC, metE, metF, metK, metL, metR, yeiB, folE, ahpC, ahpF, metQ, metN, metI | 0 | 15
YdaT | 1 | rcsA | 1 | 0
ZraR | 28 | zraS, cspA, acrE, fhuA, glnA, glnH, zraR, pnp, rfaD, rpoH, sspA, tnaA, tnaB, raiA, fliA, mdtL, zraP, cspB, gadW, mgtA, exuR, yhdW, ssrA, rmf, yrdD, yhhY, cpxP, yjjY | 25 | 3
AdiY | 8 | gltB, gltD, gadB, adiA, gltF, gadX, gadA, gadC | 8 | 0
PdeL | 9 | wecA, pdeL, fliF, fliG, fliH, fliI, fliJ, fliK, yghJ | 2 | 7
H-NS | 239 | hisM, garL, appY, ascF, ascG, bglB, bglF, bglG, bolA, cadA, cadB, cadC, cspA, cydA, cydB, cysA, cysG, cysM, cysP, cysU, cysW, ddlA, entF, acrE, acrF, fepE, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, flhC, flhD, fliC, fucA, gabT, galE, galK, galT, hisP, hns, degP, ilvH, ilvI, lacA, lacY, lacZ, leuO, lrp, malE, malF, malG, mazE, mukB, nhaA, nirB, nirC, nirD, nrdA, nrdB, osmC, proV, proW, proX, rcsA, rcsB, relA, ftnA, srlE, srlB, srlD, gutM, gutQ, srlR, nhaR, cspD, yciE, yciF, yciG, fau, garK, garR, pdeL, chiA, mazF, mukE, iraP, gspB, gabD, gabP, fliA, fliZ, gspO, hdeA, hdeB, yhiD, dps, nrdD, hdfR, gadB, hdeD, adiA, ydcC, gadE, stpA, caiD, caiC, caiB, caiA, caiT, evgA, evgS, dgcZ, yadC, adeD, galM, glvC, dctR, slp, pdeC, adiY, fimI, yehA, yehB, yehC, yehD, hisJ, hisQ, mukF, cmoM, gspM, pagP, cbpA, yhiM, mdtE, mdtF, gadW, gadX, ybgD, yfaE, rcsD, lhgD, adiC, cycA, caiE, ttdR, garP, cas2, alaU, alaV, gltT, gltU, gltW, ileU, ileV, micF, rnpB, rrfB, rrfC, rrfD, rrfG, rrfH, rrlB, rrlC, rrlD, rrlG, rrlH, rrsB, rrsC, rrsD, rrsG, rrsH, rrfF, ssrS, thrV, gadA, ybdZ, gadF, mdtU, evgL, malH, fliX, fimR2, caiF, sfmA, pdeI, elfA, dgcT, csgG, csgF, csgE, csgD, bluF, pdeG, dosC, gadC, ydeO, ydeP, asr, mdtI, mdtJ, rflP, cdgI, dgcJ, tcyJ, hchA, hprR, yfcV, oxc, pdeF, csiE, glaH, cas1, casE, casD, casC, casB, casA, yraH, gspA, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, yjjP, yjjQ, bglJ, nrdG, srlA | 49 | 190
AlsR | 6 | rpiB, alsE, alsC, alsA, alsB, alsR | 0 | 6
PaaX | 14 | paaZ, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaX, paaY | 0 | 14
RclR | 3 | rclC, rclB, rclA | 3 | 0
LexA | 63 | ddlB, dnaG, lpxC, ftsA, ftsI, ftsQ, ftsW, ftsZ, lexA, mraY, murC, murD, murE, murF, murG, phr, polB, ptrA, recA, recB, recD, recN, recQ, rpoD, rpsU, ssb, sulA, umuC, umuD, uvrA, uvrB, uvrC, uvrD, ftsL, uvrY, dinD, dinG, dinF, ybiB, ybfE, yebG, sbmC, yehF, recX, ftsO, hokE, tisB, dinQ, yafQ, dinJ, dinB, yafN, yafO, yafP, ftsK, dinI, ydjM, cho, yoaA, insK, symE, ruvA, ruvB | 0 | 63
YqhC | 2 | yqhD, dkgA | 2 | 0
YefM | 2 | yefM, yoeB | 0 | 2
YieP | 7 | yieP, yohJ, cusA, dauA, rydC, ykgE, ybiX | 2 | 5
DeoR | 6 | deoA, deoB, deoC, deoD, nupG, tsx | 0 | 6
HicB | 2 | hicA, hicB | 0 | 2
